"Año","Fecha","Destino","Descripción","Documento"
2016,"10-11-2016","MÁLAGA","REUNIÓN RED DE TRANSPARENCIA Y PARTICIPACIÓN DE LA FEMP","https://www.ctpdandalucia.es/sites/default/files/inline-files/23-viaje-a-malaga-10-de-noviembre-de-2016.pdf"
2016,"22-11-2016","BARCELONA ","DÍA 22 DE NOVIEMBRE ASISTENCIA FORUM DE LA SEGURETAT DÍA 23 REUNIÓN CON LA DIRECTORA DE LA AGENCIA CATALANA DE PROTECCIÓN DE DATOS","https://www.ctpdandalucia.es/sites/default/files/inline-files/24-viaje-a-barcelona-22-y-23-de-noviembre-de-2016.pdf"
2016,"01-12-2016","MADRID (ALCALÁ DE HENARES)","JORNADAS SOBRE COMUNICACIÓN Y TRANSPARENCIA, ALCALÁ DE HENARES","https://www.ctpdandalucia.es/sites/default/files/inline-files/26-viaje-alcala-de-henares-01-de-diciembre-2016.pdf"
2016,"13-12-2016","MADRID","FUNDACIÓN DEMOCRÁTICA Y GOBIERNO LOCAL","https://www.ctpdandalucia.es/sites/default/files/inline-files/27-viaje-a-madrid-13-de-diciembre-de-2016.pdf"
2017,"31-01-2017","CÓRDOBA","JORNADAS PROVINCIALES SOBRE LA LEY DE TRANSPARENCIA DE ANDALUCÍA Y SU APLICACIÓN EN LAS ENTIDADES LOCALES","https://www.ctpdandalucia.es/sites/default/files/inline-files/01-viaje-a-cordoba-31-de-enero-de-2017.pdf"
2017,"09-02-2017","ALMERÍA","JORNADAS PROVINCIALES SOBRE LA LEY DE TRANSPARENCIA DE ANDALUCÍA Y SU APLICACIÓN EN LAS ENTIDADES LOCALES","https://www.ctpdandalucia.es/sites/default/files/inline-files/02-viaje-a-almeria-9-y-10-de-febrero-de-2017.pdf"
2017,"13-02-2017","JAÉN","JORNADAS PROVINCIALES SOBRE LA LEY DE TRANSPARENCIA DE ANDALUCÍA Y SU APLICACIÓN EN LAS ENTIDADES LOCALES","https://www.ctpdandalucia.es/sites/default/files/inline-files/03-viaje-a-jaen-13-y-14-de-febrero.pdf"
2017,"14-03-2017","HUELVA","JORNADAS PROVINCIALES SOBRE LA LEY DE TRANSPARENCIA DE ANDALUCÍA Y SU APLICACIÓN EN LAS ENTIDADES LOCALES","https://www.ctpdandalucia.es/sites/default/files/inline-files/04-viaje-a-huelva-14-de-marzo-de-2017.pdf"
2017,"22-03-2017","GRANADA","JORNADAS SOBRE PROTECCIÓN DE DATOS PERSONALES COMO LÍMITE AL DERECHO DE ACCESO A LA INFORMACIÓN PÚBLICA: APLICACIONES PRÁCTICAS","https://www.ctpdandalucia.es/sites/default/files/inline-files/05-viaje-a-granada-22-y-23-de-marzo-de-2017.pdf"
2017,"28-03-2017","GRANADA","JORNADAS DE ESTUDIO TRANSPARENCIA Y PROTECCIÓN DE DATOS","https://www.ctpdandalucia.es/sites/default/files/inline-files/06-viaje-a-granada-28-de-marzo-de-2017.pdf"
2017,"06-04-2017","MÁLAGA","JORNADAS PROVINCIALES SOBRE LA LEY DE TRANSPARENCIA DE ANDALUCÍA Y SU APLICACIÓN EN LAS ENTIDADES LOCALES","https://www.ctpdandalucia.es/sites/default/files/inline-files/07-viaje-a-malaga-06-de-abril-de-2017.pdf"
2017,"19-04-2017","MADRID","PRESENTACIÓN DEL INFORME DE EVALUACIÓN DE LOS ÓRGANOS CONSTITUCIONALES Y ENTES REGULADORES DEL CUMPLIMIENTO DE LA LEY DE TRANSPARENCIA","https://www.ctpdandalucia.es/sites/default/files/inline-files/08-viaje-a-madrid-19-de-abril-de-2017.pdf"
2017,"08-05-2017","GRANADA",,"https://www.ctpdandalucia.es/sites/default/files/inline-files/09-viaje-a-granada-08-y-09-de-mayo-de-2017.pdf"
2017,"18-05-2017","CÁDIZ","JORNADAS PROVINCIALES SOBRE LA LEY DE TRANSPARENCIA DE ANDALUCÍA Y SU APLICACIÓN EN LAS ENTIDADES LOCALES","https://www.ctpdandalucia.es/sites/default/files/inline-files/10-viaje-a-cadiz-18-de-mayo-de-2017.pdf"
2017,"05-07-2017","ZARAGOZA","JORNADA PARTICIPACIÓN Y TRANSPARENCIA","https://www.ctpdandalucia.es/sites/default/files/inline-files/11-viaje-a-zaragoza-5-y-6-de-julio-de-2017.pdf"
2017,"25-09-2017","BARCELONA (CALATAYUD)","SEMINARIO DE INVESTIGACIÓN FORMA DE GOBIERNO Y ASPECTOS INSTITUCIONALES DE LA PARTICIPACIÓN EN LOS SISTEMAS DE GOBIERNO MULTINIVEL","https://www.ctpdandalucia.es/sites/default/files/inline-files/12-viaje-a-calatayud-25-y-26-de-septiembre-de-2017.pdf"
2017,"26-09-2017","MADRID","DÍA 27 PONENCIA EN EL I CONGRESO INTERNACIONAL DE TRANSPARENCIA. DÍA 28 DÍA INTERNACIONAL DEL DERECHO A SABER - MESA REDONDA ""LA ACTIVIDAD DE LOS ÓRGANOS DE GARANTÍA DEL DERECHO DE ACCESO""","https://www.ctpdandalucia.es/sites/default/files/inline-files/13-viaje-a-madrid-del-26-al-28-de-septiembre-de-2017.pdf"
2017,"02-10-2017","SANTIAGO DE COMPOSTELA","JORNADAS ""DERECHO DE ACCESO A LA INFORMACIÓN PÚBLICA Y TRANSPARENCIA""","https://www.ctpdandalucia.es/sites/default/files/inline-files/14-viaje-a-santiago-de-compostela-del-2-al-4-de-octubre-de-2017.pdf"
2017,"25-10-2017","MADRID","COMPARECENCIA EN LA COMISIÓN CONSTITUCIONAL ""PROPOSICIÓN DE LEY INTEGRAL DE LUCHA CONTRA LA CORRUPCIÓN Y PROTECCIÓN DE LOS DENUNCIANTES""","https://www.ctpdandalucia.es/sites/default/files/inline-files/15-viaje-a-madrid-25-de-octubre-de-2017.pdf"
2017,"28-11-2017","GRANADA","JORNADA TRANSPARENCIA Y COMPLIACE ","https://www.ctpdandalucia.es/sites/default/files/inline-files/16-viaje-a-granada-28-de-noviembre-de-2017.pdf"
2017,"30-11-2017","MADRID","I ASAMBLEA GENERAL DE LA RED DE ENTIDADES LOCALES POR LA TRANSPARENCIA Y PARTICIPACIÓN CIUDADANA DE LA FEMP ","https://www.ctpdandalucia.es/sites/default/files/inline-files/17-viaje-a-madrid-30-de-noviembre-de-2017.pdf"
2017,"13-12-2017","MADRID","PROTECCIÓN DE DATOS ""IV CICLO DE SEMINARIOS RETOS Y DESAFÍOS DEL ESTADO ESPAÑOL EN EL SIGLO XXI"" ","https://www.ctpdandalucia.es/sites/default/files/inline-files/18-viaje-a-madrid-13-de-diciembre-de-2017.pdf"
